,From,Subject,class
0,Sven.Flecha@gastech.com.kronos,GT-SeismicProcessorPro Bug Report,Work
1,Kanon.Herrero@gastech.com.kronos,Inspection request for site,Work
2,Bertrand.Ovan@gastech.com.kronos,New refueling policies - Effective February 1,Change/schedule
3,Valeria.Morlun@gastech.com.kronos,Route suggestion for next shift,Change/schedule
4,Mat.Bramar@gastech.com.kronos,Upcoming birthdays,Social
5,Bertrand.Ovan@gastech.com.kronos,Don't text and drive!,Weird
6,Orhan.Strum@gastech.com.kronos,Service anniversary,Social
7,Varja.Lagos@gastech.com.kronos,Patrol schedule changes,Change/schedule
8,Brand.Tempestad@gastech.com.kronos,Wellhead flow rate data,Work
12,Loreto.Bodrogi@gastech.com.kronos,Plants,Weird
17,Sten.Sanjorge Jr.@gastech.com.tethys,IPO,Work
18,Mat.Bramar@gastech.com.kronos,Craft night,Social
33,Anda.Ribera@gastech.com.kronos,Favor - borrow hedge trimmer,Other
37,Bertrand.Ovan@gastech.com.kronos,Facilities preparations for VIP visit,Work
41,Carla.Forluniau@gastech.com.kronos,Question - Protocol for VIP visit,Work
45,Hennie.Osvaldo@gastech.com.kronos,Concert tickets,Social
48,Cecilia.Morluniau@gastech.com.kronos,Supplies,Work
52,Dante.Coginian@gastech.com.kronos,Congratulations on your service anniversary,Social
56,Axel.Calzas@gastech.com.kronos,Meeting,Change/schedule
67,Kanon.Herrero@gastech.com.kronos,Late for meeting,Change/schedule
69,Claudio.Hawelon@gastech.com.kronos,Are you buying coffee?,Other
73,Mat.Bramar@gastech.com.kronos,All staff announcement,Change/schedule
74,Ruscella.Mies.Haber@gastech.com.kronos,"Good morning, GasTech!",Other
94,Mat.Bramar@gastech.com.kronos,Service anniversaries!,Social
95,Irene.Nant@gastech.com.kronos,Traffic advisory for today,Work
96,Dylan.Scozzese@gastech.com.kronos,List of repairs needed,Work
98,Ada.Campo-Corrente@gastech.com.kronos,"Hey, I’m going home sick.",Other
101,Mat.Bramar@gastech.com.kronos,Dress for success - Dress to impress,Social
102,Lidelse.Dedos@gastech.com.kronos,Files,Work
103,Isia.Vann@gastech.com.kronos,This weekend?,Social
105,Carla.Forluniau@gastech.com.kronos,"Works for me, thanks",Other
107,Ruscella.Mies.Haber@gastech.com.kronos,Daily morning announcements,Change/schedule
109,Isia.Vann@gastech.com.kronos,Karoake night,Social
112,Lars.Azada@gastech.com.kronos,Downhole prediction 2522-00,Undefined
113,Felix.Balas@gastech.com.kronos,I’m in! -  post a list,Weird
125,Mat.Bramar@gastech.com.kronos,Document stuck,Work
136,Orhan.Strum@gastech.com.kronos,Yearly numbers looking good,Other
139,Hideki.Cocinaro@gastech.com.kronos,No hurry,Other
142,Isande.Borrasca@gastech.com.kronos,Wellhead flow rate data - overpressure at well 1783-03?,Work
143,Linda.Lagos@gastech.com.kronos,Catering?!?,Other
147,Varja.Lagos@gastech.com.kronos,Resolution of incident,Work
153,Lidelse.Dedos@gastech.com.kronos,Well 1033-01 stabilization progress report,Work
154,Birgitta.Frente@gastech.com.kronos,Downhole prediction 2522-00 - check your parameters,Work
163,Bertrand.Ovan@gastech.com.kronos,Mandatory safety training,Work
165,Cornelia.Lais@gastech.com.kronos,Can someone cover for me next week?,Other
166,Rachel.Pantanal@gastech.com.kronos,Too funy - you have to see this...,Other
169,Mat.Bramar@gastech.com.kronos,Planning for staff picnic,Change/schedule
171,Anda.Ribera@gastech.com.kronos,Need a ride to lunch later,Other
180,Edvard.Vann@gastech.com.kronos,Money for coffee fund,Other
191,Bertrand.Ovan@gastech.com.kronos,Be Careful!,Other
